,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time,risk_level_real,risk_level_lbpr,risk_level_lbsp,risk_level_mlp,risk_level_ran,risk_level_gbc,voting
13457,0.1666666666666669,0.6666666666666666,0.7602537956038976,0.7599388379204893,0.7276368491321761,0.5161290322580645,0.9136546184738956,0.6774193548387096,0.4333333333333333,0.0,0.3333333333333333,0.1338582677165354,0.5,0.1176470588235294,4,4,4,4,4,4,4.0
11260,0.1666666666666669,0.4651162790697674,0.4946748243825062,0.5749235474006117,0.2202937249666222,0.6774193548387095,0.1967871485943775,0.2580645161290321,0.0,0.9999999999999998,0.0,0.0275590551181102,0.5,0.0,1,1,1,1,1,1,1.0
18048,0.3333333333333335,0.0620155038759689,0.2762293224563789,0.6345565749235474,0.0627503337783711,0.5161290322580645,0.4096385542168674,0.5806451612903226,0.0666666666666666,0.3720930232558138,0.3333333333333333,0.0354330708661417,0.5,0.0588235294117647,2,2,2,2,2,2,2.0
13254,0.1666666666666669,0.6976744186046512,0.5837298889644233,0.4495412844036697,0.089452603471295,0.4193548387096775,0.2439759036144578,0.8225806451612904,0.4333333333333333,0.0,0.3333333333333333,0.1929133858267716,0.25,0.0,4,4,4,4,4,4,4.0
16272,0.3333333333333335,0.6511627906976745,0.5447541355087242,0.680428134556575,0.5807743658210949,0.4516129032258065,0.535140562248996,0.5967741935483871,0.0666666666666666,0.3720930232558138,0.3333333333333333,0.0708661417322834,1.0,0.0588235294117647,2,2,2,2,2,2,2.0
13658,0.1666666666666669,0.8372093023255813,0.7029231815091774,0.6314984709480123,0.0987983978638184,0.4516129032258065,0.2319277108433735,0.6612903225806451,0.4333333333333333,0.0,0.3333333333333333,0.0748031496062992,0.75,0.0,4,4,4,4,4,4,4.0
22890,1.0,0.627906976744186,0.6730115567641061,0.6880733944954129,0.0987983978638184,0.5161290322580645,0.2439759036144578,0.3870967741935484,0.4333333333333333,0.3720930232558138,0.0,0.1889763779527559,1.0,0.1176470588235294,2,3,2,2,2,1,2.0
17294,0.3333333333333335,0.3953488372093023,0.4203489689553591,0.5642201834862386,0.1041388518024031,0.4193548387096775,0.2208835341365461,0.6451612903225806,0.0666666666666666,0.3720930232558138,1.0,0.1181102362204724,0.5,0.0588235294117647,2,2,2,2,2,2,2.0
18584,0.8333333333333335,0.6976744186046512,0.5859959211420802,0.6529051987767585,1.0,0.5161290322580645,0.92570281124498,0.5161290322580646,0.0666666666666666,0.1860465116279069,0.3999999999999999,0.1535433070866141,1.0,0.2352941176470588,2,1,3,2,2,3,3.0
9089,0.1666666666666669,0.1550387596899224,0.4006344890097439,0.5749235474006117,0.3604806408544727,0.7419354838709675,0.7048192771084337,0.4032258064516129,0.0666666666666666,0.9999999999999998,0.0,0.4763779527559055,0.5,0.0588235294117647,1,1,1,1,1,1,1.0
22593,1.0,0.6744186046511628,0.5674144572852935,0.5443425076452599,0.089452603471295,0.4193548387096775,0.2439759036144578,0.3709677419354839,0.4333333333333333,0.3720930232558138,0.0,0.3346456692913386,0.5,0.6470588235294118,3,2,2,3,2,1,2.0
11639,0.3333333333333335,0.3333333333333333,0.4969408565601632,0.7232415902140673,0.9532710280373832,0.5806451612903225,0.8072289156626506,0.2258064516129031,0.0,0.9999999999999998,0.0,0.0669291338582677,1.0,0.0,1,1,1,1,1,1,1.0
13013,0.1666666666666669,0.7674418604651163,0.6426467255835033,0.6529051987767585,0.0934579439252336,0.5161290322580645,0.2439759036144578,0.6612903225806451,0.4333333333333333,0.0,0.0,0.1653543307086614,0.75,0.0588235294117647,3,3,3,3,3,3,3.0
14228,0.1666666666666669,0.8449612403100775,0.7024699750736461,0.6743119266055047,0.0987983978638184,0.4193548387096775,0.2439759036144578,0.7741935483870966,0.4333333333333333,0.0,0.3333333333333333,0.0039370078740157,0.5,0.0,4,4,4,4,4,4,4.0
13530,0.1666666666666669,0.6124031007751938,0.6485384092454113,0.636085626911315,0.7436582109479304,0.5161290322580645,0.9056224899598394,0.8064516129032259,0.4333333333333333,0.0,0.3333333333333333,0.0196850393700787,0.0,0.0,3,3,3,3,3,3,3.0
5219,0.3333333333333335,0.3875968992248062,0.5778382053025153,0.8516819571865444,0.9532710280373832,0.5483870967741935,0.2640562248995984,0.1290322580645161,0.0333333333333333,0.9999999999999998,0.0541666666666666,0.0629921259842519,1.0,0.0,1,1,1,1,1,1,1.0
13857,0.1666666666666669,0.6046511627906976,0.6367550419215953,0.6314984709480123,0.6915887850467288,0.5161290322580645,0.8975903614457832,0.8548387096774194,0.4333333333333333,0.0,0.3333333333333333,0.0078740157480314,0.5,0.0,3,3,3,3,3,3,3.0
13606,0.1666666666666669,0.7674418604651163,0.6435531384545661,0.5336391437308868,0.0934579439252336,0.4193548387096775,0.2439759036144578,0.7903225806451614,0.4333333333333333,0.0,0.3333333333333333,0.0314960629921259,1.0,0.0,3,3,3,3,3,3,3.0
4888,0.3333333333333335,0.7364341085271318,0.6245184681622479,0.6896024464831805,0.240320427236315,0.5483870967741935,0.2640562248995984,0.1129032258064516,0.0333333333333333,0.9999999999999998,0.1958333333333333,0.0314960629921259,1.0,0.0588235294117647,1,2,2,2,2,2,2.0
13341,0.1666666666666669,0.6124031007751938,0.6442329481078631,0.7477064220183487,0.7329773030707609,0.5161290322580645,0.9056224899598394,0.8064516129032259,0.4333333333333333,0.0,0.0,0.4173228346456692,0.25,0.2352941176470588,4,4,4,4,4,4,4.0
19485,0.8333333333333335,0.6976744186046512,0.7294357579877634,0.6865443425076453,0.7850467289719627,0.5161290322580645,0.9447791164658634,0.4516129032258064,0.0666666666666666,0.2480620155038759,0.0,0.2716535433070866,0.5,0.1764705882352941,3,1,3,3,2,2,3.0
16638,0.3333333333333335,0.9767441860465116,0.8175844096986178,0.5902140672782875,0.1148197596795727,0.4193548387096775,0.2600401606425702,0.7258064516129031,0.0666666666666666,0.3720930232558138,0.3333333333333333,0.0039370078740157,1.0,0.0,3,2,2,3,3,3,3.0
14055,0.1666666666666669,0.2093023255813953,0.2975300249263539,0.6697247706422019,0.1255006675567423,0.5161290322580645,0.8152610441767069,0.7096774193548386,0.4333333333333333,0.0,0.0,0.3700787401574803,0.0,0.1764705882352941,3,3,3,3,3,3,3.0
14221,0.1666666666666669,0.8682170542635659,0.7249036936324496,0.6529051987767585,0.1041388518024031,0.4838709677419355,0.2520080321285141,0.6774193548387096,0.4333333333333333,0.0,0.3333333333333333,0.0078740157480314,0.5,0.0,4,4,4,4,4,4,4.0
7312,0.0,0.0,0.0,0.6529051987767585,0.1935914552736982,0.6774193548387095,0.216867469879518,0.4032258064516129,0.0,0.9999999999999998,0.0,0.2244094488188976,0.5,0.1764705882352941,2,1,1,1,1,1,1.0
13732,0.1666666666666669,0.1550387596899224,0.3840924541128484,0.7584097859327218,0.2149532710280373,0.5483870967741935,0.5240963855421688,0.8709677419354839,0.4333333333333333,0.0,0.3333333333333333,0.4094488188976378,1.0,0.3529411764705882,4,4,4,4,4,4,4.0
15669,0.3333333333333335,0.3333333333333333,0.7452979832313619,0.6850152905198778,0.2202937249666222,0.4516129032258065,0.680722891566265,0.7096774193548386,0.0666666666666666,0.3720930232558138,1.0,0.1062992125984252,1.0,0.1764705882352941,3,2,2,3,2,2,2.0
12541,0.1666666666666669,0.6356589147286822,0.5372762293224564,0.6957186544342508,0.5861148197596795,0.5161290322580645,0.3664658634538152,0.7903225806451614,0.4333333333333333,0.0,0.0,0.0984251968503936,0.5,0.0588235294117647,3,3,3,3,3,3,3.0
21429,0.8333333333333335,0.6976744186046512,0.7394062995694539,0.617737003058104,0.8691588785046729,0.4193548387096775,0.960843373493976,0.4516129032258064,0.0666666666666666,0.2480620155038759,0.1999999999999999,0.0393700787401574,0.75,0.0,2,3,3,2,2,2,2.0
13453,0.1666666666666669,0.5581395348837209,0.5864491275776116,0.743119266055046,0.638184245660881,0.5161290322580645,0.8975903614457832,0.7096774193548386,0.4333333333333333,0.0,0.3333333333333333,0.2716535433070866,0.5,0.3529411764705882,3,4,4,4,3,3,4.0
22161,1.0,0.9069767441860463,0.7609336052571947,0.7048929663608563,0.8264352469959946,0.4838709677419355,0.968875502008032,0.5161290322580646,0.0666666666666666,0.3720930232558138,0.0,0.0078740157480314,1.0,0.0588235294117647,2,2,2,2,2,1,2.0
1540,0.1666666666666669,0.3720930232558139,0.5465669612508498,0.8012232415902141,0.9532710280373832,0.129032258064516,0.8232931726907631,0.1451612903225806,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.326771653543307,1.0,0.5294117647058824,2,1,1,2,2,2,2.0
16589,0.3333333333333335,0.9302325581395348,0.7733967822343077,0.6788990825688074,0.2923898531375167,0.4516129032258065,0.8383534136546185,0.5967741935483871,0.0666666666666666,0.3720930232558138,0.3333333333333333,0.0787401574803149,0.75,0.0588235294117647,3,3,3,3,3,3,3.0
5199,0.3333333333333335,0.3953488372093023,0.5930206208928167,0.7370030581039756,0.6181575433911881,0.5483870967741935,0.2640562248995984,0.0967741935483871,0.0333333333333333,0.9999999999999998,0.0541666666666666,0.0511811023622047,0.75,0.1176470588235294,1,1,1,1,1,1,1.0
1208,0.1666666666666669,0.3798449612403101,0.3077271697258101,0.680428134556575,0.1722296395193591,0.4838709677419355,0.2008032128514056,0.1774193548387096,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0551181102362204,1.0,0.0588235294117647,1,1,1,1,1,1,1.0
3978,0.3333333333333335,0.1240310077519379,0.5399954679356447,0.7691131498470949,0.9479305740987982,0.5483870967741935,0.2640562248995984,0.1935483870967741,0.0333333333333333,0.9999999999999998,0.1958333333333333,0.1850393700787401,0.0,0.1176470588235294,2,2,2,2,2,2,2.0
