timestamp,position lat,position long,heart rate,cadence,distance,fractional cadence,enhanced speed,enhanced altitude,cycle length 16,,
1069685510,-3231305,-936415116,67,0,490721,0,20042,15827,0,2,67
1069685512,-3228751,-936411880,65,0,494559,0,19902,15842,0,2,65
1069685514,-3226703,-936408787,65,0,498013,0,18811,15856,0,2,65
1069685515,-3225363,-936406732,65,0,500297,0,18773,15862,0,2,65
1069685517,-3223208,-936403400,65,0,503991,0,18913,15874,0,2,65
1069685519,-3221275,-936400538,66,0,507206,0,18344,15885,0,2,66
1069685521,-3218786,-936397015,66,0,511221,0,17868,15897,0,2,66
1069685523,-3216423,-936393911,66,0,514852,0,18269,15910,0,2,66
1069685525,-3213819,-936390907,66,0,518551,0,18130,15923,0,2,66
1069685527,-3210871,-936388170,67,0,522292,0,18148,15936,0,2,67
1069685529,-3207592,-936385719,69,0,526097,0,18148,15949,0,2,69
1069685531,-3203987,-936383643,69,0,529960,0,18773,15963,0,2,69
1069685533,-3200206,-936382054,69,0,533767,0,18876,15977,0,2,69
1069685535,-3196151,-936380865,68,0,537688,0,18997,15989,0,2,68
1069685536,-3194005,-936380421,68,0,539719,0,19063,15995,0,2,68
1069685537,-3191779,-936380100,68,0,541804,0,19473,16001,0,2,68
1069685538,-3189498,-936379943,68,0,543923,0,20080,16006,0,2,68
1069685539,-3187193,-936379929,68,0,546059,0,20416,16011,0,2,68
1069685540,-3184893,-936380059,68,0,548194,0,20695,16016,0,2,68
1069685542,-3180780,-936380672,68,0,552051,0,21265,16024,0,2,68
1069685543,-3178558,-936381186,69,0,554166,0,21274,16027,0,2,69
1069685544,-3176397,-936381820,69,0,556254,0,21265,16031,0,2,69
1069685545,-3174301,-936382546,71,0,558311,0,21031,16035,0,2,71
1069685546,-3172270,-936383356,72,0,560339,0,20985,16039,0,2,72
1069685547,-3170326,-936384245,72,0,562323,0,20966,16045,0,2,72
1069685549,-3166585,-936386150,73,0,566219,0,20285,16056,0,2,73
1069685551,-3162884,-936388183,74,0,570138,0,19501,16069,0,2,74
1069685552,-3160635,-936389395,75,0,572509,0,19501,16076,0,2,75
1069685554,-3156817,-936391423,75,0,576522,0,19902,16089,0,2,75
1069685555,-3154906,-936392434,75,0,578529,0,19902,16095,0,2,75
1069685557,-3151526,-936394251,75,0,582091,0,19902,16107,0,2,75
1069685558,-3149355,-936395412,75,0,584376,0,19902,16114,0,2,75
1069685560,-3145786,-936397251,75,0,588102,0,19678,16126,0,2,75
1069685561,-3143953,-936398117,75,0,589983,0,18941,16132,0,2,75
1069685563,-3140541,-936399521,75,0,593406,0,18820,16145,0,2,75
1069685565,-3136592,-936400745,75,0,597241,0,19240,16157,0,2,75
1069685567,-3132502,-936401586,75,0,601113,0,19268,16170,0,2,75
1069685569,-3128279,-936402000,74,0,605048,0,19277,16184,0,2,74
1069685571,-3123991,-936402012,70,0,609023,0,19343,16196,0,7,70
1069685572,-3121829,-936401824,69,0,611034,0,19473,16203,0,7,69
1069685573,-3119653,-936401536,67,0,613069,0,19622,16209,0,7,67
1069685574,-3117481,-936401158,66,0,615113,0,19678,16216,0,7,66
1069685576,-3113370,-936400132,66,0,619042,0,19912,16228,0,12,66
1069685577,-3111471,-936399486,66,0,620903,0,19912,16234,0,12,66
1069685579,-3107851,-936397959,67,0,624549,0,19706,16246,0,12,67
1069685581,-3104472,-936396111,68,0,628124,0,18419,16257,0,12,68
1069685582,-3102532,-936394882,68,0,630256,0,18316,16262,0,12,68
1069685584,-3099784,-936392848,70,0,633432,0,18046,16272,0,7,70
1069685585,-3098286,-936391610,70,0,635239,0,18083,16277,0,7,70
1069685587,-3095136,-936388710,72,0,639220,0,18167,16288,0,7,72
1069685589,-3092695,-936386226,72,0,642458,0,18167,16297,0,7,72
1069685590,-3091402,-936384897,73,0,644182,0,18008,16302,0,7,73
1069685592,-3088854,-936382286,74,0,647575,0,17943,16313,0,7,74
1069685594,-3086301,-936379662,74,0,650979,0,17084,16323,0,7,74
1069685596,-3083731,-936377043,73,0,654391,0,17112,16335,0,7,73
1069685598,-3081114,-936374456,73,0,657812,0,17215,16347,0,7,73
1069685600,-3078363,-936371844,72,0,661340,0,17196,16359,0,2,72
1069685602,-3075388,-936369234,72,0,665018,0,17355,16372,0,2,72
1069685603,-3073811,-936367982,71,0,666889,0,17551,16378,0,2,71
1069685605,-3070607,-936365559,71,0,670622,0,18559,16391,0,2,71
1069685606,-3068602,-936364153,71,0,672897,0,18577,16396,0,2,71
1069685608,-3065438,-936362166,72,0,676367,0,18587,16405,0,7,72
1069685609,-3063622,-936361087,72,0,678328,0,18745,16410,0,7,72
1069685610,-3061465,-936359833,73,0,680644,0,19063,16414,0,7,73
1069685612,-3058239,-936358116,75,0,684037,0,19520,16422,0,7,75
1069685613,-3056046,-936357085,75,0,686285,0,19156,16425,0,7,75
1069685614,-3054609,-936356460,75,0,687739,0,19156,16429,0,7,75
1069685616,-3050707,-936354896,74,0,691638,0,18829,16437,0,7,74
1069685618,-3047271,-936353537,73,0,695067,0,18437,16445,0,7,73
1069685619,-3045915,-936352965,72,0,696432,0,17980,16450,0,7,72
1069685620,-3043908,-936352056,70,0,698475,0,17616,16456,0,7,70
1069685621,-3042152,-936351338,70,0,700235,0,17616,16461,0,7,70
1069685623,-3038647,-936349864,69,0,703762,0,17840,16469,0,2,69
1069685625,-3035128,-936348494,70,0,707265,0,17812,16477,0,2,70
1069685627,-3031512,-936347098,71,0,710860,0,17747,16486,0,2,71
1069685629,-3028006,-936345650,71,0,714379,0,17747,16495,0,2,71
1069685631,-3024591,-936344226,70,0,717812,0,17812,16507,0,7,70
1069685633,-3021480,-936342956,70,0,720929,0,17691,16518,0,7,70
1069685635,-3017631,-936341408,69,0,724778,0,17654,16528,0,7,69
1069685637,-3014011,-936339914,69,0,728411,0,17822,16536,0,7,69
1069685638,-3012530,-936339325,69,0,729889,0,17831,16541,0,7,69
1069685640,-3008718,-936337953,68,0,733647,0,18074,16549,0,2,68
1069685641,-3006410,-936337238,68,0,735888,0,18717,16552,0,2,68
1069685643,-3002461,-936336293,67,0,739653,0,18997,16558,0,2,67
1069685645,-2998282,-936335724,66,0,743564,0,18904,16566,0,2,66
1069685647,-2993992,-936335475,66,0,747544,0,18895,16573,0,2,66
1069685649,-2989620,-936335525,66,0,751596,0,19259,16580,0,2,66
1069685650,-2987430,-936335691,66,0,753632,0,19650,16584,0,2,66
1069685651,-2985257,-936335951,66,0,755661,0,19800,16588,0,2,66
1069685652,-2983078,-936336283,66,0,757704,0,19818,16592,0,2,66
1069685654,-2978815,-936337225,66,0,761752,0,19958,16601,0,2,66
1069685655,-2976731,-936337827,66,0,763763,0,20164,16605,0,2,66
1069685656,-2974681,-936338499,66,0,765764,0,20360,16610,0,2,66
1069685658,-2970712,-936340065,66,0,769723,0,20341,16618,0,2,66
1069685660,-2966897,-936341922,66,0,773662,0,20322,16627,0,2,66
1069685662,-2963118,-936344048,66,0,777686,0,20182,16637,0,2,66
1069685664,-2959323,-936346247,66,0,781758,0,20145,16648,0,2,66
1069685666,-2955642,-936348441,67,0,785735,0,20061,16658,0,2,67
1069685668,-2951939,-936350572,67,0,789702,0,19996,16668,0,2,67
1069685670,-2948138,-936352627,68,0,793713,0,20042,16676,0,2,68
1069685671,-2946224,-936353621,68,0,795715,0,20117,16679,0,2,68
1069685672,-2944258,-936354627,68,0,797764,0,20192,16683,0,2,68
1069685674,-2940335,-936356460,68,0,801782,0,20294,16689,0,2,68
1069685675,-2938349,-936357338,68,0,803797,0,20294,16692,,2,68
1069685677,-2934323,-936359071,68,0,807863,0,20257,16697,0,2,68
1069685678,-2932276,-936359836,68,0,809890,0,20257,16701,0,2,68
1069685680,-2928249,-936361082,67,0,813798,0,20285,16709,0,2,67
1069685682,-2924264,-936362226,66,0,817643,0,20248,16724,0,2,66
1069685683,-2922255,-936362763,66,0,819570,0,20089,16732,0,2,66
1069685685,-2918197,-936363785,67,0,823451,0,19538,16745,0,2,67
1069685687,-2914124,-936364742,67,0,827329,0,19566,16757,0,2,67
1069685689,-2910141,-936365678,67,0,831123,0,19501,16768,0,2,67
1069685690,-2908137,-936366125,68,0,833027,0,19445,16773,0,7,68
1069685692,-2904052,-936366976,69,0,836895,0,19371,16783,0,2,69
1069685694,-2899886,-936367817,69,0,840836,0,19361,16793,0,2,69
1069685696,-2895645,-936368657,69,0,844844,0,19371,16803,0,2,69
1069685697,-2893513,-936369039,69,0,846851,0,19389,16808,0,2,69
1069685699,-2889862,-936369596,69,0,850276,0,19678,16818,0,2,69
1069685701,-2885641,-936370104,69,0,854216,0,19305,16829,0,2,69
1069685703,-2881973,-936370296,68,0,857622,0,18242,16839,0,7,68
1069685705,-2878258,-936370094,67,0,861071,0,17094,16850,0,2,67
1069685707,-2874485,-936369525,67,0,864609,0,17383,16859,0,2,67
1069685709,-2871043,-936368768,68,0,867875,0,17868,16867,0,2,68
1069685711,-2866835,-936367396,68,0,871980,0,17868,16874,0,2,68
1069685713,-2863050,-936365938,68,0,875742,0,18829,16883,0,2,68
1069685715,-2859584,-936364542,69,0,879207,0,19035,16893,0,2,69
1069685717,-2855211,-936362817,69,0,883567,0,19193,16903,0,2,69
1069685719,-2851736,-936361582,69,0,886988,0,19809,16912,0,2,69
1069685720,-2849497,-936360791,69,0,889191,0,19809,16916,0,2,69
1069685722,-2845876,-936359530,69,0,892747,0,18960,16929,0,2,69
1069685723,-2844081,-936358890,69,0,894515,0,18419,16935,0,2,69
1069685725,-2840436,-936357716,69,0,898065,0,17812,16949,0,2,69
1069685727,-2837019,-936356641,68,0,901386,0,17486,16960,0,2,68
1069685729,-2833483,-936355757,69,0,904765,0,16954,16968,0,2,69
1069685731,-2830091,-936354853,69,0,908020,0,16870,16974,0,2,69
1069685732,-2828509,-936354556,70,0,909512,0,16842,16977,0,2,70
1069685734,-2825175,-936354065,70,0,912636,0,16683,16983,0,2,70
