,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time,risk_level
211,15,80.0,2894.0,0.0,76.1,89.0,79.6,62.0,9,16.1,2.4,8.0,70.0,0.0,1
212,15,80.0,2892.0,0.0,42.4,89.0,72.5,62.0,9,16.1,2.4,8.0,70.0,0.0,1
213,15,80.0,2882.0,0.0,66.7,89.0,83.5,62.0,9,16.1,2.4,9.0,70.0,0.0,1
214,15,80.0,2894.0,0.0,81.6,89.0,83.5,61.0,9,16.1,2.4,10.0,70.0,0.0,1
215,15,80.0,2912.0,0.0,82.0,89.0,84.3,61.0,9,16.1,2.4,10.0,70.0,0.0,1
216,15,81.0,2918.0,0.18,82.0,89.0,84.3,61.0,9,16.1,2.4,11.0,70.0,0.0,1
217,15,81.0,2919.0,0.0,82.0,89.0,84.3,62.0,9,16.1,2.4,19.0,70.0,0.0,1
218,15,81.0,2907.0,-0.49,45.9,89.0,76.5,62.0,9,16.1,2.4,16.0,90.0,2.0,1
219,15,79.0,2871.0,-0.51,72.2,89.0,80.8,62.0,9,16.1,2.4,17.0,90.0,2.0,1
220,15,79.0,2858.0,0.0,82.0,89.0,83.9,63.0,9,16.1,2.4,18.0,90.0,2.0,1
221,15,80.0,2870.0,0.0,82.0,89.0,83.9,63.0,9,16.1,2.4,18.0,90.0,2.0,1
222,15,80.0,2876.0,0.13,82.0,89.0,84.3,63.0,9,16.1,2.4,17.0,90.0,2.0,1
223,15,80.0,2885.0,0.0,82.0,89.0,83.9,62.0,9,16.1,2.4,9.0,70.0,0.0,1
224,15,80.0,2904.0,0.0,82.0,89.0,84.3,62.0,9,16.1,2.4,9.0,70.0,0.0,1
225,15,81.0,2912.0,0.25,82.0,89.0,84.3,62.0,9,16.1,2.4,16.0,90.0,2.0,1
226,15,81.0,2923.0,0.0,82.0,89.0,84.3,61.0,9,16.1,2.4,16.0,90.0,2.0,1
227,15,81.0,2932.0,0.0,82.0,90.0,84.7,61.0,9,16.1,2.4,16.0,90.0,2.0,1
228,15,81.0,2939.0,0.0,82.0,89.0,84.7,61.0,9,16.1,2.4,17.0,90.0,2.0,1
229,15,82.0,2944.0,0.17,82.0,89.0,84.7,61.0,9,16.1,2.4,17.0,90.0,2.0,1
230,15,82.0,3008.0,0.0,82.0,89.0,85.1,61.0,9,16.1,2.4,17.0,90.0,2.0,1
231,15,82.0,2969.0,0.0,82.0,90.0,85.1,61.0,9,16.1,2.4,16.0,90.0,2.0,1
232,15,83.0,2983.0,0.0,82.0,89.0,85.1,61.0,9,16.1,2.4,14.0,90.0,2.0,1
233,15,83.0,2988.0,0.0,82.0,90.0,85.1,61.0,9,16.1,2.4,14.0,90.0,2.0,1
234,15,83.0,3009.0,0.0,82.0,89.0,85.5,61.0,9,16.1,2.4,14.0,90.0,2.0,1
235,15,84.0,3019.0,0.0,82.0,89.0,85.1,62.0,9,16.1,2.4,4.0,90.0,0.0,1
236,15,84.0,3028.0,0.14,82.0,90.0,85.9,62.0,9,16.1,2.4,4.0,90.0,0.0,1
237,15,84.0,3044.0,0.0,82.0,90.0,86.3,62.0,9,16.1,2.4,3.0,90.0,0.0,1
238,15,85.0,3056.0,0.0,82.0,90.0,85.9,61.0,9,16.1,2.4,2.0,90.0,0.0,1
239,15,85.0,3061.0,0.0,70.2,90.0,83.1,61.0,9,16.1,2.4,2.0,90.0,0.0,1
